date,voivodeship_code,voivodeship_name,kis,max_kis
2026-09-20,30,wielkopolskie,2.2,6.5
2026-09-20,32,zachodniopomorskie,2.2,6.5
2026-09-21,02,dolnośląskie,3.5,28.7
2026-09-21,04,kujawsko-pomorskie,2.2,6.5
2026-09-21,06,lubelskie,2.2,6.5
2026-09-21,08,lubuskie,2.3,9.4
2026-09-21,10,łódzkie,2.4,7.8
2026-09-21,12,małopolskie,2.3,6.5
2026-09-21,14,mazowieckie,2.2,6.5
2026-09-21,16,opolskie,6.3,41.0
2026-09-21,18,podkarpackie,2.2,6.5
2026-09-21,20,podlaskie,2.3,6.5
2026-09-21,22,pomorskie,2.4,6.5
2026-09-21,24,śląskie,2.3,6.5
2026-09-21,26,świętokrzyskie,2.3,6.5
2026-09-21,28,warmińsko-mazurskie,2.3,6.5
2026-09-21,30,wielkopolskie,2.3,9.2
2026-09-21,32,zachodniopomorskie,2.2,6.5
2026-09-22,02,dolnośląskie,3.5,26.6
2026-09-22,04,kujawsko-pomorskie,2.3,7.0
2026-09-22,06,lubelskie,2.2,7.8
2026-09-22,08,lubuskie,2.2,6.5
2026-09-22,10,łódzkie,2.3,7.8
2026-09-22,12,małopolskie,2.3,7.8
2026-09-22,14,mazowieckie,2.2,7.9
2026-09-22,16,opolskie,6.6,42.9
2026-09-22,18,podkarpackie,2.2,7.8
2026-09-22,20,podlaskie,2.2,6.5
2026-09-22,22,pomorskie,2.4,6.5
2026-09-22,24,śląskie,2.3,7.8
2026-09-22,26,świętokrzyskie,2.3,6.5
2026-09-22,28,warmińsko-mazurskie,2.3,6.5
2026-09-22,30,wielkopolskie,2.2,6.5
2026-09-22,32,zachodniopomorskie,2.2,6.5
2026-09-23,02,dolnośląskie,3.2,19.0
2026-09-23,04,kujawsko-pomorskie,2.3,8.7
2026-09-23,06,lubelskie,2.1,6.5
2026-09-23,08,lubuskie,2.2,6.5
2026-09-23,10,łódzkie,2.3,6.5
2026-09-23,12,małopolskie,2.3,6.5
2026-09-23,14,mazowieckie,2.2,6.5
2026-09-23,16,opolskie,5.4,38.1
2026-09-23,18,podkarpackie,2.2,6.5
2026-09-23,20,podlaskie,2.2,6.5
2026-09-23,22,pomorskie,2.5,8.1
2026-09-23,24,śląskie,2.3,6.5
2026-09-23,26,świętokrzyskie,2.3,6.5
2026-09-23,28,warmińsko-mazurskie,2.4,7.8
2026-09-23,30,wielkopolskie,2.2,7.8
2026-09-23,32,zachodniopomorskie,2.2,6.5
2026-09-24,02,dolnośląskie,3.4,18.4
2026-09-24,04,kujawsko-pomorskie,2.3,7.8
2026-09-24,06,lubelskie,2.2,7.8
2026-09-24,08,lubuskie,2.2,6.5
2026-09-24,10,łódzkie,2.3,7.8
2026-09-24,12,małopolskie,2.3,7.1
2026-09-24,14,mazowieckie,2.2,6.5
2026-09-24,16,opolskie,6.7,45.2
2026-09-24,18,podkarpackie,2.2,6.5
2026-09-24,20,podlaskie,2.3,6.5
2026-09-24,22,pomorskie,2.4,6.5
2026-09-24,24,śląskie,2.3,7.8
2026-09-24,26,świętokrzyskie,2.3,6.5
2026-09-24,28,warmińsko-mazurskie,2.3,6.5
2026-09-24,30,wielkopolskie,2.2,7.4
2026-09-24,32,zachodniopomorskie,2.2,6.5
2026-09-25,02,dolnośląskie,2.9,20.2
2026-09-25,04,kujawsko-pomorskie,2.2,6.5
2026-09-25,06,lubelskie,2.1,6.5
2026-09-25,08,lubuskie,2.2,6.5
2026-09-25,10,łódzkie,2.3,6.5
2026-09-25,12,małopolskie,2.3,6.5
2026-09-25,14,mazowieckie,2.2,6.5
2026-09-25,16,opolskie,4.7,30.2
2026-09-25,18,podkarpackie,2.2,6.5
2026-09-25,20,podlaskie,2.2,6.5
2026-09-25,22,pomorskie,2.4,7.8
2026-09-25,24,śląskie,2.2,6.5
2026-09-25,26,świętokrzyskie,2.3,9.0
2026-09-25,28,warmińsko-mazurskie,2.3,6.5
2026-09-25,30,wielkopolskie,2.2,6.5
2026-09-25,32,zachodniopomorskie,2.2,6.5
