date,gmina_code,voivodeship_code,kis,recommended_level,recommended_spo
2026-09-16,0202001,02,28.6,powiat,SPO-12;SPO-3
2026-09-16,0202002,02,36.1,powiat,SPO-12;SPO-3
2026-09-16,0202003,02,47.8,wojewoda,SPO-12;SPO-3
2026-09-16,0202004,02,27.4,powiat,SPO-12;SPO-3
2026-09-16,0202005,02,65.3,minister wiodący,SPO-12;SPO-3
2026-09-16,0202006,02,28.8,powiat,SPO-12;SPO-3
2026-09-16,0203002,02,31.4,powiat,SPO-12;SPO-3
2026-09-16,0203003,02,25.5,powiat,SPO-12;SPO-3
2026-09-16,0203004,02,31.2,powiat,SPO-12;SPO-3
2026-09-16,0203005,02,34.1,powiat,SPO-12;SPO-3
2026-09-16,0203006,02,35.5,powiat,SPO-12;SPO-3
2026-09-16,0421005,04,33.2,powiat,SPO-12;SPO-3
2026-09-16,1203002,12,32.0,powiat,SPO-12;SPO-3
2026-09-16,1601001,16,73.4,minister wiodący,SPO-12;SPO-3
2026-09-16,1601002,16,33.7,powiat,SPO-12;SPO-3
2026-09-16,1601003,16,45.1,wojewoda,SPO-12;SPO-3
2026-09-16,1602001,16,42.9,powiat,SPO-12;SPO-3
2026-09-16,1602002,16,42.6,powiat,SPO-12;SPO-3
2026-09-16,1603001,16,100,RZZK,SPO-1;SPO-2;SPO-3;SPO-10
2026-09-16,1601005,16,31.5,powiat,SPO-12;SPO-3
2026-09-16,1601007,16,38.9,powiat,SPO-12;SPO-3
2026-09-16,1601008,16,33.8,powiat,SPO-12;SPO-3
2026-09-16,1602003,16,44.8,powiat,SPO-12;SPO-3
2026-09-16,1602004,16,52.6,wojewoda,SPO-12;SPO-3
2026-09-16,1602005,16,52.5,wojewoda,SPO-12;SPO-3
2026-09-16,1602007,16,35.2,powiat,SPO-12;SPO-3
2026-09-16,1602008,16,29.4,powiat,SPO-12;SPO-3
2026-09-16,1603003,16,27.1,powiat,SPO-12;SPO-3
2026-09-16,1603005,16,48.5,wojewoda,SPO-12;SPO-3
2026-09-16,1603006,16,48.1,wojewoda,SPO-12;SPO-3
2026-09-16,1604002,16,32.0,powiat,SPO-12;SPO-3
2026-09-17,0201001,02,89.4,RZZK,SPO-1;SPO-2;SPO-3;SPO-10
2026-09-17,0201002,02,38.8,powiat,SPO-12;SPO-3
2026-09-17,0201003,02,61.6,wojewoda,SPO-12;SPO-3
2026-09-17,0201004,02,38.0,powiat,SPO-12;SPO-3
2026-09-17,0203001,02,57.0,wojewoda,SPO-12;SPO-3
2026-09-17,0201005,02,33.9,powiat,SPO-12;SPO-3
2026-09-17,0201006,02,48.0,wojewoda,SPO-12;SPO-3
2026-09-17,0201007,02,44.6,powiat,SPO-12;SPO-3
2026-09-17,0201009,02,40.5,powiat,SPO-12;SPO-3
2026-09-17,0201010,02,43.7,powiat,SPO-12;SPO-3
2026-09-17,0202001,02,49.5,wojewoda,SPO-12;SPO-3
2026-09-17,0202002,02,29.9,powiat,SPO-12;SPO-3
2026-09-17,0202003,02,53.9,wojewoda,SPO-12;SPO-3
2026-09-17,0202006,02,37.5,powiat,SPO-12;SPO-3
2026-09-17,0203002,02,56.1,wojewoda,SPO-12;SPO-3
2026-09-17,0203003,02,32.0,powiat,SPO-12;SPO-3
2026-09-17,0203005,02,26.2,powiat,SPO-12;SPO-3
2026-09-17,0203007,02,72.3,minister wiodący,SPO-12;SPO-3
2026-09-17,0421005,04,32.0,powiat,SPO-12;SPO-3
2026-09-17,0619002,06,32.0,powiat,SPO-12;SPO-3
2026-09-17,1203002,12,32.0,powiat,SPO-12;SPO-3
2026-09-17,1601001,16,86.8,RZZK,SPO-1;SPO-2;SPO-3;SPO-10
2026-09-17,1601003,16,42.8,powiat,SPO-12;SPO-3
2026-09-17,1602001,16,49.3,wojewoda,SPO-12;SPO-3
2026-09-17,1602002,16,70.4,minister wiodący,SPO-12;SPO-3
2026-09-17,1603001,16,83.0,minister wiodący,SPO-12;SPO-3
2026-09-17,1601004,16,46.8,wojewoda,SPO-12;SPO-3
2026-09-17,1601005,16,38.5,powiat,SPO-12;SPO-3
2026-09-17,1601006,16,45.0,wojewoda,SPO-12;SPO-3
2026-09-17,1601007,16,59.1,wojewoda,SPO-12;SPO-3
2026-09-17,1602003,16,28.5,powiat,SPO-12;SPO-3
2026-09-17,1602006,16,42.8,powiat,SPO-12;SPO-3
2026-09-17,1602007,16,35.5,powiat,SPO-12;SPO-3
2026-09-17,1603002,16,45.1,wojewoda,SPO-12;SPO-3
2026-09-17,1603003,16,37.3,powiat,SPO-12;SPO-3
2026-09-17,1603004,16,55.3,wojewoda,SPO-12;SPO-3
2026-09-17,1603005,16,25.7,powiat,SPO-12;SPO-3
2026-09-17,1603007,16,43.2,powiat,SPO-12;SPO-3
2026-09-17,2606001,26,32.0,powiat,SPO-12;SPO-3
2026-09-18,0201001,02,43.3,powiat,SPO-12;SPO-3
2026-09-18,0201002,02,60.8,wojewoda,SPO-12;SPO-3
2026-09-18,0201003,02,39.7,powiat,SPO-12;SPO-3
2026-09-18,0201004,02,27.5,powiat,SPO-12;SPO-3
2026-09-18,0203001,02,65.8,minister wiodący,SPO-12;SPO-3
2026-09-18,0201005,02,26.2,powiat,SPO-12;SPO-3
2026-09-18,0201006,02,33.4,powiat,SPO-12;SPO-3
2026-09-18,0201008,02,29.0,powiat,SPO-12;SPO-3
2026-09-18,0202001,02,40.1,powiat,SPO-12;SPO-3
2026-09-18,0202004,02,38.5,powiat,SPO-12;SPO-3
2026-09-18,0202005,02,33.2,powiat,SPO-12;SPO-3
2026-09-18,0202006,02,66.2,minister wiodący,SPO-12;SPO-3
2026-09-18,0203003,02,48.3,wojewoda,SPO-12;SPO-3
2026-09-18,0203004,02,31.2,powiat,SPO-12;SPO-3
2026-09-18,0203005,02,48.4,wojewoda,SPO-12;SPO-3
2026-09-18,0203006,02,35.0,powiat,SPO-12;SPO-3
2026-09-18,0203007,02,50.7,wojewoda,SPO-12;SPO-3
2026-09-18,0619002,06,32.0,powiat,SPO-12;SPO-3
2026-09-18,0801001,08,32.0,powiat,SPO-12;SPO-3
2026-09-18,1601002,16,30.7,powiat,SPO-12;SPO-3
2026-09-18,1601003,16,28.2,powiat,SPO-12;SPO-3
2026-09-18,1602001,16,44.1,powiat,SPO-12;SPO-3
2026-09-18,1602002,16,39.8,powiat,SPO-12;SPO-3
2026-09-18,1603001,16,44.4,powiat,SPO-12;SPO-3
2026-09-18,1601004,16,30.9,powiat,SPO-12;SPO-3
2026-09-18,1601005,16,37.0,powiat,SPO-12;SPO-3
2026-09-18,1601006,16,68.6,minister wiodący,SPO-12;SPO-3
2026-09-18,1601007,16,30.4,powiat,SPO-12;SPO-3
2026-09-18,1601009,16,26.8,powiat,SPO-12;SPO-3
2026-09-18,1602004,16,26.2,powiat,SPO-12;SPO-3
2026-09-18,1602007,16,48.6,wojewoda,SPO-12;SPO-3
2026-09-18,1602008,16,26.0,powiat,SPO-12;SPO-3
2026-09-18,1603002,16,32.0,powiat,SPO-12;SPO-3
2026-09-18,1603006,16,40.8,powiat,SPO-12;SPO-3
2026-09-18,2606001,26,32.0,powiat,SPO-12;SPO-3
2026-09-19,0201002,02,25.4,powiat,SPO-12;SPO-3
2026-09-19,0201004,02,34.7,powiat,SPO-12;SPO-3
2026-09-19,0201007,02,27.5,powiat,SPO-12;SPO-3
2026-09-19,0202001,02,32.5,powiat,SPO-12;SPO-3
2026-09-19,0202002,02,47.1,wojewoda,SPO-12;SPO-3
2026-09-19,0203002,02,26.3,powiat,SPO-12;SPO-3
2026-09-19,0203003,02,38.7,powiat,SPO-12;SPO-3
2026-09-19,0203004,02,36.7,powiat,SPO-12;SPO-3
2026-09-19,0203005,02,30.3,powiat,SPO-12;SPO-3
2026-09-19,0619002,06,32.0,powiat,SPO-12;SPO-3
2026-09-19,0801001,08,32.0,powiat,SPO-12;SPO-3
2026-09-19,1601002,16,31.3,powiat,SPO-12;SPO-3
2026-09-19,1601003,16,27.3,powiat,SPO-12;SPO-3
2026-09-19,1602001,16,28.6,powiat,SPO-12;SPO-3
2026-09-19,1602002,16,25.6,powiat,SPO-12;SPO-3
2026-09-19,1601004,16,36.2,powiat,SPO-12;SPO-3
2026-09-19,1601005,16,25.9,powiat,SPO-12;SPO-3
2026-09-19,1603003,16,27.3,powiat,SPO-12;SPO-3
2026-09-19,1603004,16,27.6,powiat,SPO-12;SPO-3
2026-09-20,0203007,02,25.2,powiat,SPO-12;SPO-3
2026-09-20,1601009,16,25.3,powiat,SPO-12;SPO-3
2026-09-20,1602004,16,41.5,powiat,SPO-12;SPO-3
2026-09-20,1602006,16,37.1,powiat,SPO-12;SPO-3
2026-09-20,1603004,16,39.0,powiat,SPO-12;SPO-3
2026-09-21,0201002,02,28.7,powiat,SPO-12;SPO-3
2026-09-21,0203006,02,25.5,powiat,SPO-12;SPO-3
2026-09-21,0203007,02,26.2,powiat,SPO-12;SPO-3
2026-09-21,1601002,16,41.0,powiat,SPO-12;SPO-3
2026-09-21,1603001,16,25.6,powiat,SPO-12;SPO-3
2026-09-21,1603002,16,28.5,powiat,SPO-12;SPO-3
2026-09-22,0201001,02,26.6,powiat,SPO-12;SPO-3
2026-09-22,1601003,16,42.9,powiat,SPO-12;SPO-3
2026-09-22,1601005,16,27.5,powiat,SPO-12;SPO-3
2026-09-23,1602008,16,38.1,powiat,SPO-12;SPO-3
2026-09-24,1601007,16,32.7,powiat,SPO-12;SPO-3
2026-09-24,1601008,16,31.4,powiat,SPO-12;SPO-3
2026-09-24,1601009,16,30.6,powiat,SPO-12;SPO-3
2026-09-24,1602005,16,45.2,wojewoda,SPO-12;SPO-3
2026-09-24,1602006,16,28.1,powiat,SPO-12;SPO-3
2026-09-25,1602003,16,30.2,powiat,SPO-12;SPO-3
