powiat_code,powiat_name,voivodeship_code,population,area_km2,lat,lon
0408,kujawsko powiat 08,04,77243,1777.2,52.84107,18.75112
0409,kujawsko powiat 09,04,105874,1044.5,53.03065,18.03476
0410,kujawsko powiat 10,04,105079,767.5,53.25596,17.60357
0411,kujawsko powiat 11,04,98642,2270.1,52.47999,18.20505
0412,kujawsko powiat 12,04,157203,1822.1,52.47979,17.61541
0413,kujawsko powiat 13,04,127172,1360.8,52.69486,17.45687
0414,kujawsko powiat 14,04,73559,697.5,53.55043,18.46965
0415,kujawsko powiat 15,04,58431,1963.3,52.5189,17.90498
0416,kujawsko powiat 16,04,105912,481.3,53.38355,18.73465
0417,kujawsko powiat 17,04,104967,697.0,52.97743,17.76735
0418,kujawsko powiat 18,04,71530,904.6,53.04642,17.89122
0419,kujawsko powiat 19,04,31216,1543.3,52.74821,18.6433
0420,kujawsko powiat 20,04,111468,2214.7,52.44938,18.75732
0421,kujawsko powiat 21,04,100650,1391.3,53.82699,18.64795
0422,kujawsko powiat 22,04,74250,387.8,52.69412,17.85996
0423,kujawsko powiat 23,04,84412,1319.3,52.94196,18.73636
0601,lubelskie powiat 01,06,140876,2589.2,51.13101,23.25438
0602,lubelskie powiat 02,06,101969,2526.5,51.33015,22.89601
0603,lubelskie powiat 03,06,108733,2007.7,51.36527,22.63169
0604,lubelskie powiat 04,06,27568,620.0,50.58225,22.69467
0605,lubelskie powiat 05,06,86426,686.7,51.93767,21.93857
0606,lubelskie powiat 06,06,88936,2342.2,51.38905,22.83122
0607,lubelskie powiat 07,06,102910,1705.5,50.86582,22.71018
0608,lubelskie powiat 08,06,22000,730.0,51.12534,22.69391
0609,lubelskie powiat 09,06,77293,1180.1,51.57079,22.17643
0610,lubelskie powiat 10,06,66846,420.5,51.50404,22.2684
0611,lubelskie powiat 11,06,134274,2590.8,51.18393,23.31608
0612,lubelskie powiat 12,06,80704,2320.0,50.60639,22.13813
0613,lubelskie powiat 13,06,158432,620.7,51.81541,22.37269
0614,lubelskie powiat 14,06,22000,1786.8,51.74712,22.87371
0615,lubelskie powiat 15,06,29117,953.5,50.50823,23.04406
0616,lubelskie powiat 16,06,97581,501.5,51.49158,23.2268
0617,lubelskie powiat 17,06,98832,1671.4,51.32634,22.22692
0618,lubelskie powiat 18,06,71557,1398.0,51.57292,22.1238
0619,lubelskie powiat 19,06,69590,466.9,51.8545,23.08756
0620,lubelskie powiat 20,06,140079,1747.2,51.13186,22.23342
0621,lubelskie powiat 21,06,88671,1546.4,50.88943,22.93025
0622,lubelskie powiat 22,06,143993,2374.2,51.13803,21.8329
0623,lubelskie powiat 23,06,116393,1618.9,51.31489,23.07029
0624,lubelskie powiat 24,06,64028,2120.9,50.71864,22.00957
0801,krośnieński,08,122384,743.7,53.27785,15.82719
0802,nowosolski,08,81841,1205.0,52.36109,14.63299
0803,lubuskie powiat 03,08,22000,2435.2,52.91779,14.71063
0804,lubuskie powiat 04,08,91390,308.2,53.28371,15.94311
0805,lubuskie powiat 05,08,23709,2437.4,53.09165,14.97708
0806,lubuskie powiat 06,08,79395,2100.3,53.19015,15.7749
0807,lubuskie powiat 07,08,53575,2267.7,52.14894,15.78705
0808,lubuskie powiat 08,08,51160,2119.1,52.32045,15.70368
0809,lubuskie powiat 09,08,77308,703.9,52.32819,14.5143
0810,lubuskie powiat 10,08,91948,1757.5,52.47919,15.77533
0811,lubuskie powiat 11,08,67788,1510.1,52.58632,15.95052
0812,lubuskie powiat 12,08,87533,2512.0,53.39566,14.65181
0813,lubuskie powiat 13,08,69077,1271.2,52.385,14.6414
0814,lubuskie powiat 14,08,48308,1155.2,53.07962,14.94932
1001,łódzkie powiat 01,10,75555,1915.6,51.87408,19.08808
1002,łódzkie powiat 02,10,46735,1993.6,51.01174,20.09436
1003,łódzkie powiat 03,10,88382,414.4,52.01514,19.25233
1004,łódzkie powiat 04,10,74912,1941.4,52.00556,19.2013
1005,łódzkie powiat 05,10,165784,1209.7,51.45968,19.16993
1006,łódzkie powiat 06,10,127985,2459.9,51.6128,19.14948
1007,łódzkie powiat 07,10,128743,1696.5,52.02518,20.06021
1008,łódzkie powiat 08,10,131358,1260.2,51.46062,19.52791
1009,łódzkie powiat 09,10,102074,1342.7,51.87918,19.68806
1010,łódzkie powiat 10,10,26279,2120.7,51.67244,19.02655
1011,łódzkie powiat 11,10,114879,1461.3,51.26374,18.83319
1012,łódzkie powiat 12,10,126816,1831.1,51.95861,19.20878
1013,łódzkie powiat 13,10,47876,307.4,51.34616,19.00469
1014,łódzkie powiat 14,10,110141,1223.9,51.37646,19.4187
1015,łódzkie powiat 15,10,90754,1886.4,51.95385,18.99765
1016,łódzkie powiat 16,10,99904,2014.8,51.75077,19.07198
1017,łódzkie powiat 17,10,98872,1249.1,52.16427,18.86588
1018,łódzkie powiat 18,10,90612,835.6,51.27303,20.14295
1019,łódzkie powiat 19,10,100709,2133.3,52.2817,19.39069
1020,łódzkie powiat 20,10,29856,2344.9,52.01057,20.18784
1021,łódzkie powiat 21,10,52670,1436.2,51.92818,19.78491
1022,łódzkie powiat 22,10,149040,1365.5,52.25505,19.52781
1023,łódzkie powiat 23,10,66546,1748.5,51.39799,19.07686
1024,łódzkie powiat 24,10,81996,432.1,52.15792,19.48795
1201,małopolskie powiat 01,12,123926,1001.3,49.74329,19.60257
1202,małopolskie powiat 02,12,164806,1910.1,50.12493,19.40256
1203,małopolskie powiat 03,12,237903,1525.1,49.41104,19.8064
1204,małopolskie powiat 04,12,51837,1622.6,49.93836,19.50525
1205,małopolskie powiat 05,12,211592,2049.1,50.35798,20.4801
1206,małopolskie powiat 06,12,100828,2255.6,49.88527,19.20384
1207,małopolskie powiat 07,12,227854,2006.7,50.74485,19.82353
1208,małopolskie powiat 08,12,162028,1274.2,50.1339,20.09988
1209,małopolskie powiat 09,12,192532,1846.0,49.35824,19.69919
1210,małopolskie powiat 10,12,127243,1712.3,49.92118,19.44257
1211,małopolskie powiat 11,12,160768,1576.3,49.35515,19.78603
1212,małopolskie powiat 12,12,194729,368.2,49.35535,20.15912
1213,małopolskie powiat 13,12,200465,1018.1,49.88336,19.51249
1214,małopolskie powiat 14,12,156293,842.8,50.45654,19.76369
1215,małopolskie powiat 15,12,52553,1517.6,49.43756,19.22407
1216,małopolskie powiat 16,12,99476,1781.6,50.81456,19.71994
1217,małopolskie powiat 17,12,78432,718.5,50.44605,20.61942
1218,małopolskie powiat 18,12,211639,1575.3,49.34527,19.42357
1219,małopolskie powiat 19,12,212515,2052.2,49.64165,20.2442
1220,małopolskie powiat 20,12,154651,2175.4,49.56638,20.10587
1221,małopolskie powiat 21,12,128244,310.3,50.76178,19.35715
1222,małopolskie powiat 22,12,207662,1930.3,49.78264,20.21102
1401,mazowieckie powiat 01,14,117252,1724.0,51.59369,21.29812
1402,mazowieckie powiat 02,14,165098,534.5,51.63255,21.42092
1403,mazowieckie powiat 03,14,79620,1065.9,52.95547,21.43615
1404,mazowieckie powiat 04,14,87809,2246.5,52.12227,20.81806
1405,mazowieckie powiat 05,14,127502,2507.9,52.7132,20.42051
1406,mazowieckie powiat 06,14,116246,1974.4,52.43308,21.50526
1407,mazowieckie powiat 07,14,82474,2149.3,52.92791,20.66732
1408,mazowieckie powiat 08,14,61766,880.7,52.28696,20.98745
1409,mazowieckie powiat 09,14,157874,453.7,52.75727,21.5083
1410,mazowieckie powiat 10,14,68555,1140.6,52.80215,20.628
1411,mazowieckie powiat 11,14,142685,677.3,51.52275,21.53863
1412,mazowieckie powiat 12,14,79012,1897.8,51.79788,21.45895
1413,mazowieckie powiat 13,14,207521,2477.9,51.8941,20.27743
1414,mazowieckie powiat 14,14,53140,1872.9,51.60812,21.34231
1415,mazowieckie powiat 15,14,134504,2113.4,52.44855,20.99843
1416,mazowieckie powiat 16,14,115234,1616.7,51.61928,20.59459
1417,mazowieckie powiat 17,14,92981,1249.9,52.18959,21.05858
1418,mazowieckie powiat 18,14,118566,840.8,52.5986,20.75839
1419,mazowieckie powiat 19,14,94706,531.0,51.66068,20.55108
1420,mazowieckie powiat 20,14,141547,1387.9,52.2835,21.40548
1421,mazowieckie powiat 21,14,158006,1482.9,52.56658,21.72711
1422,mazowieckie powiat 22,14,140209,671.7,51.9042,20.41299
1423,mazowieckie powiat 23,14,159518,894.6,51.50092,21.0634
1424,mazowieckie powiat 24,14,121434,2290.9,52.94114,21.09224
1425,mazowieckie powiat 25,14,106848,1599.1,52.21602,21.57128
1426,mazowieckie powiat 26,14,134927,2461.5,52.1838,20.9229
1427,mazowieckie powiat 27,14,142487,1191.7,52.19629,21.49537
1428,mazowieckie powiat 28,14,153280,1572.7,51.59082,21.20637
1429,mazowieckie powiat 29,14,137533,528.4,51.93545,21.75308
1430,mazowieckie powiat 30,14,137227,1478.0,52.62637,21.17168
1431,mazowieckie powiat 31,14,97795,2271.4,52.15547,20.92628
1432,mazowieckie powiat 32,14,84161,1989.2,52.96475,20.72027
1433,mazowieckie powiat 33,14,86348,745.9,52.90109,20.57388
1434,mazowieckie powiat 34,14,137266,256.3,52.47034,20.49779
1435,mazowieckie powiat 35,14,144885,934.5,52.15546,21.15292
1436,mazowieckie powiat 36,14,114581,1865.4,51.82691,21.32263
1437,mazowieckie powiat 37,14,81508,1718.9,52.86557,21.44394
1438,mazowieckie powiat 38,14,78551,1771.9,52.47147,21.6627
1439,mazowieckie powiat 39,14,154721,417.8,52.84232,21.50215
1440,mazowieckie powiat 40,14,128663,928.2,51.72858,20.72362
1441,mazowieckie powiat 41,14,70432,1894.4,51.66623,21.29522
1442,mazowieckie powiat 42,14,110564,343.7,52.89371,21.01291
1601,nyski,16,82122,838.4,50.57314,17.65478
1602,opolski,16,100899,2484.3,50.06209,18.61417
1603,Opole,16,49588,883.4,51.42446,18.17972
1604,opolskie powiat 04,16,40874,2402.8,49.98545,18.3057
1605,opolskie powiat 05,16,89315,1741.7,50.19733,18.04929
1606,opolskie powiat 06,16,66805,1824.8,50.66269,17.30816
1607,opolskie powiat 07,16,102681,1880.1,51.2117,17.66601
1608,opolskie powiat 08,16,95714,1318.8,50.35743,18.58909
1609,opolskie powiat 09,16,48383,2529.9,50.39688,17.65621
1610,opolskie powiat 10,16,123402,1525.1,50.53136,17.94319
1611,opolskie powiat 11,16,78545,1100.2,50.54497,17.45267
1612,opolskie powiat 12,16,82876,1540.7,51.05976,18.10941
1801,podkarpackie powiat 01,18,65089,1890.9,50.68271,21.90627
1802,podkarpackie powiat 02,18,68074,622.2,49.47334,22.70882
1803,podkarpackie powiat 03,18,71228,469.0,50.11746,22.07748
1804,podkarpackie powiat 04,18,70694,2205.5,50.77959,22.61849
1805,podkarpackie powiat 05,18,88734,1445.8,50.03876,22.324
1806,podkarpackie powiat 06,18,107267,1545.5,49.70134,22.50119
1807,podkarpackie powiat 07,18,82401,1444.4,49.86658,22.6319
1808,podkarpackie powiat 08,18,76514,1225.1,50.61019,22.54514
1809,podkarpackie powiat 09,18,137104,2178.3,50.69257,22.01071
1810,podkarpackie powiat 10,18,22000,1400.7,49.71546,21.69693
1811,podkarpackie powiat 11,18,27997,1061.0,49.51409,22.05697
1812,podkarpackie powiat 12,18,59921,693.3,50.11908,22.06425
1813,podkarpackie powiat 13,18,92433,798.9,50.33745,22.1068
1814,podkarpackie powiat 14,18,83610,2156.8,50.45452,21.31457
1815,podkarpackie powiat 15,18,38597,2178.8,49.87032,22.24463
1816,podkarpackie powiat 16,18,119421,1636.9,50.76243,21.99209
1817,podkarpackie powiat 17,18,93276,1284.7,50.59575,22.56039
1818,podkarpackie powiat 18,18,79885,1788.7,50.08013,21.93449
1819,podkarpackie powiat 19,18,55000,2527.6,49.52274,21.95334
1820,podkarpackie powiat 20,18,50879,2253.0,49.79904,22.28816
1821,podkarpackie powiat 21,18,38078,994.2,50.58021,21.81911
1822,podkarpackie powiat 22,18,90764,410.8,50.36928,22.3882
1823,podkarpackie powiat 23,18,79368,2594.0,50.23794,22.63049
1824,podkarpackie powiat 24,18,119578,2300.6,50.41135,21.90006
1825,podkarpackie powiat 25,18,109655,2373.0,49.95672,22.2901
2001,podlaskie powiat 01,20,63127,592.1,52.45149,23.61302
2002,podlaskie powiat 02,20,92168,2112.4,53.17925,23.26769
2003,podlaskie powiat 03,20,92745,816.0,52.63748,22.53725
2004,podlaskie powiat 04,20,44945,1333.7,53.75174,22.63348
2005,podlaskie powiat 05,20,113334,2367.8,52.76347,22.80179
2006,podlaskie powiat 06,20,72063,1288.1,53.39892,22.65576
2007,podlaskie powiat 07,20,53052,837.7,52.90085,23.30016
2008,podlaskie powiat 08,20,49891,1154.0,53.65046,22.71763
2009,podlaskie powiat 09,20,40862,2582.8,53.10731,22.77461
2010,podlaskie powiat 10,20,55584,1796.8,52.82535,23.88572
2011,podlaskie powiat 11,20,53699,365.3,52.79422,23.26769
2012,podlaskie powiat 12,20,32517,2374.8,53.29211,23.16389
2013,podlaskie powiat 13,20,51745,1746.1,52.81179,23.61709
2014,podlaskie powiat 14,20,55349,1944.2,53.31384,23.43545
2015,podlaskie powiat 15,20,33064,1768.9,53.37127,23.67631
2016,podlaskie powiat 16,20,31547,1612.0,52.8459,23.08003
2017,podlaskie powiat 17,20,58189,662.8,53.48104,22.554
2201,pomorskie powiat 01,22,182695,2533.0,53.80024,18.70571
2202,pomorskie powiat 02,22,132626,2188.0,54.39828,19.26683
2203,pomorskie powiat 03,22,89616,2004.4,54.32477,19.10633
2204,pomorskie powiat 04,22,139302,2521.3,54.11007,18.06935
2205,pomorskie powiat 05,22,112075,2552.9,54.89221,18.98293
2206,pomorskie powiat 06,22,69018,282.7,55.0529,19.10348
2207,pomorskie powiat 07,22,171529,1831.1,54.40686,18.57878
2208,pomorskie powiat 08,22,160135,504.6,54.61051,18.77344
2209,pomorskie powiat 09,22,29746,2328.0,53.95273,17.93414
2210,pomorskie powiat 10,22,119954,2186.1,54.44411,19.26948
2211,pomorskie powiat 11,22,131897,1209.5,54.96608,18.34989
2212,pomorskie powiat 12,22,101279,478.4,53.81167,19.31599
2213,pomorskie powiat 13,22,162362,1316.1,54.93289,18.1001
2214,pomorskie powiat 14,22,157650,1994.3,54.60773,19.01131
2215,pomorskie powiat 15,22,103051,482.7,53.83378,18.51893
2216,pomorskie powiat 16,22,127401,1120.7,54.33602,18.50877
2217,pomorskie powiat 17,22,114124,2260.3,54.26707,19.32243
2218,pomorskie powiat 18,22,22000,1092.9,53.75103,18.92512
2219,pomorskie powiat 19,22,86049,537.1,54.19921,18.18131
2220,pomorskie powiat 20,22,86650,1653.3,54.87405,18.57868
2401,raciborski,24,71768,822.4,49.54694,19.45399
2402,wodzisławski,24,193388,736.8,49.70379,19.12067
2403,Gliwice,24,156709,1022.1,49.83883,19.57834
2404,śląskie powiat 04,24,212290,590.0,49.73623,19.6246
2405,śląskie powiat 05,24,127019,660.1,49.70989,18.64978
2406,śląskie powiat 06,24,202718,809.1,50.50649,18.31247
2407,śląskie powiat 07,24,132705,373.1,50.00056,18.53517
2408,śląskie powiat 08,24,124112,2078.3,50.62748,19.06293
2409,śląskie powiat 09,24,75545,1434.0,50.28476,18.43738
2410,śląskie powiat 10,24,143754,1475.4,50.93302,18.33885
2411,śląskie powiat 11,24,39178,392.9,50.20196,19.71984
2412,śląskie powiat 12,24,105547,2387.8,50.23337,18.87623
2413,śląskie powiat 13,24,78544,1679.5,49.62514,18.39499
2414,śląskie powiat 14,24,88355,1014.2,49.61342,18.68632
2415,śląskie powiat 15,24,84383,1316.2,51.00684,19.06964
2416,śląskie powiat 16,24,99823,1779.7,50.42304,18.42257
2417,śląskie powiat 17,24,43423,755.3,50.66834,19.35506
2418,śląskie powiat 18,24,99879,1227.6,50.19223,18.61654
2419,śląskie powiat 19,24,166405,1813.0,49.65753,18.91395
2420,śląskie powiat 20,24,139964,2204.7,50.07635,18.50276
2421,śląskie powiat 21,24,117855,1986.2,49.65475,18.41865
2422,śląskie powiat 22,24,77195,1024.7,50.73255,19.10836
2423,śląskie powiat 23,24,96318,1813.6,49.69825,18.8042
2424,śląskie powiat 24,24,104598,1661.0,50.64033,19.57594
2425,śląskie powiat 25,24,22000,749.9,50.04237,19.14068
2426,śląskie powiat 26,24,191454,1113.8,50.5,18.61017
2427,śląskie powiat 27,24,178824,2147.0,50.65881,19.13495
2428,śląskie powiat 28,24,150714,1760.3,50.78263,19.73562
2429,śląskie powiat 29,24,70424,2199.2,49.55428,19.66743
2430,śląskie powiat 30,24,114415,1048.6,49.91607,18.54442
2431,śląskie powiat 31,24,89370,1580.9,49.52406,19.57859
2432,śląskie powiat 32,24,118131,2003.4,50.11608,18.48661
2433,śląskie powiat 33,24,117335,1051.1,49.8376,18.90355
2434,śląskie powiat 34,24,135015,449.6,50.06998,19.35619
2435,śląskie powiat 35,24,69412,1701.9,49.59381,18.50991
2436,śląskie powiat 36,24,98860,1288.8,50.52585,18.68195
2601,świętokrzyskie powiat 01,26,57829,517.5,50.52585,21.01101
2602,świętokrzyskie powiat 02,26,72609,1817.8,50.76097,20.30347
2603,świętokrzyskie powiat 03,26,56008,1658.4,50.18423,20.4715
2604,świętokrzyskie powiat 04,26,92110,850.5,50.12763,20.33073
2605,świętokrzyskie powiat 05,26,104325,2005.5,50.60828,19.89019
2606,świętokrzyskie powiat 06,26,77651,2208.4,50.37964,20.44891
2607,świętokrzyskie powiat 07,26,53291,2275.1,51.3254,19.98671
2608,świętokrzyskie powiat 08,26,142057,1603.0,50.17955,19.90671
2609,świętokrzyskie powiat 09,26,58904,1231.6,50.9762,20.94285
2610,świętokrzyskie powiat 10,26,62984,1702.6,50.28886,19.90988
2611,świętokrzyskie powiat 11,26,137485,457.1,51.36414,21.25825
2612,świętokrzyskie powiat 12,26,56218,1180.1,51.38283,20.24357
2613,świętokrzyskie powiat 13,26,68172,1032.7,50.58151,20.38787
2614,świętokrzyskie powiat 14,26,115836,2378.9,50.3683,20.64432
2801,warmińsko powiat 01,28,86303,2174.5,53.55246,20.82117
2802,warmińsko powiat 02,28,77230,1665.6,54.25096,20.0845
2803,warmińsko powiat 03,28,80215,666.3,54.16872,20.71336
2804,warmińsko powiat 04,28,68832,1304.9,54.18767,20.47128
2805,warmińsko powiat 05,28,27697,1743.0,54.41463,20.57684
2806,warmińsko powiat 06,28,58261,410.5,53.96518,21.02647
2807,warmińsko powiat 07,28,57994,895.5,53.69171,20.18433
2808,warmińsko powiat 08,28,58084,383.7,53.11266,20.49111
2809,warmińsko powiat 09,28,91855,2281.0,54.27594,19.8452
2810,warmińsko powiat 10,28,41323,1552.6,54.31134,20.65261
2811,warmińsko powiat 11,28,66541,1306.9,54.21613,21.07392
2812,warmińsko powiat 12,28,56014,604.5,54.24312,20.70786
2813,warmińsko powiat 13,28,91969,2362.9,53.12121,19.88535
2814,warmińsko powiat 14,28,53133,832.2,53.54356,20.80157
2815,warmińsko powiat 15,28,67297,1478.5,53.68504,20.38923
2816,warmińsko powiat 16,28,62728,1045.2,53.26652,20.28938
2817,warmińsko powiat 17,28,91495,1771.2,53.92523,20.91394
2818,warmińsko powiat 18,28,59285,1950.8,53.12727,19.87186
2819,warmińsko powiat 19,28,50265,2302.2,54.01325,21.08961
2820,warmińsko powiat 20,28,81579,2524.1,53.52844,20.60421
2821,warmińsko powiat 21,28,84784,1648.3,54.07612,20.31804
3001,wielkopolskie powiat 01,30,55672,2161.0,53.0634,16.63957
3002,wielkopolskie powiat 02,30,143288,1986.1,52.66157,17.41864
3003,wielkopolskie powiat 03,30,77631,1100.3,52.68452,16.96479
3004,wielkopolskie powiat 04,30,70793,753.4,52.2003,16.44559
3005,wielkopolskie powiat 05,30,102737,431.3,53.0779,16.90461
3006,wielkopolskie powiat 06,30,118767,2061.6,52.92304,16.32691
3007,wielkopolskie powiat 07,30,130755,2050.8,52.90908,17.50072
3008,wielkopolskie powiat 08,30,107390,631.3,51.85297,16.74028
3009,wielkopolskie powiat 09,30,107572,1278.5,52.90342,17.33185
3010,wielkopolskie powiat 10,30,80330,808.2,52.27269,17.18974
3011,wielkopolskie powiat 11,30,99591,1504.9,52.3227,16.60259
3012,wielkopolskie powiat 12,30,61757,1352.2,52.1206,17.38814
3013,wielkopolskie powiat 13,30,195359,1334.9,52.90907,16.72696
3014,wielkopolskie powiat 14,30,67026,1489.5,52.07906,16.74801
3015,wielkopolskie powiat 15,30,105986,837.5,53.1058,17.40054
3016,wielkopolskie powiat 16,30,81831,1553.2,52.61817,17.48638
3017,wielkopolskie powiat 17,30,116956,2043.3,51.81028,17.44404
3018,wielkopolskie powiat 18,30,76883,596.3,52.06559,17.53316
3019,wielkopolskie powiat 19,30,106639,1071.5,52.31261,17.59482
3020,wielkopolskie powiat 20,30,137668,1429.7,51.69641,16.25509
3021,wielkopolskie powiat 21,30,94031,2437.4,52.01007,17.66699
3022,wielkopolskie powiat 22,30,105860,2109.7,52.91516,17.15014
3023,wielkopolskie powiat 23,30,125880,576.2,51.8628,16.60552
3024,wielkopolskie powiat 24,30,52595,262.3,52.7147,16.8481
3025,wielkopolskie powiat 25,30,122398,1959.0,51.77524,16.55909
3026,wielkopolskie powiat 26,30,61951,927.0,52.44806,16.34198
3027,wielkopolskie powiat 27,30,45495,1324.2,52.10813,16.24682
3028,wielkopolskie powiat 28,30,129953,1652.3,51.82269,17.53292
3029,wielkopolskie powiat 29,30,100928,1258.7,51.68105,16.94826
3030,wielkopolskie powiat 30,30,119393,1228.9,52.57861,16.53605
3031,wielkopolskie powiat 31,30,112872,1486.2,52.65296,16.30362
3032,wielkopolskie powiat 32,30,97866,1552.3,52.41739,17.6577
3033,wielkopolskie powiat 33,30,35109,846.1,52.24208,16.8804
3034,wielkopolskie powiat 34,30,25775,1060.3,51.68076,17.35798
3035,wielkopolskie powiat 35,30,107623,1031.4,52.75581,17.11759
3201,gryfiński,32,35205,2161.7,52.745,14.62182
3202,Szczecin,32,38362,1734.6,52.94113,14.97151
3203,zachodniopomorskie powiat 03,32,90636,2074.0,53.89575,13.89745
3204,zachodniopomorskie powiat 04,32,99199,348.5,53.36502,14.24296
3205,zachodniopomorskie powiat 05,32,86139,2574.4,54.07856,14.57588
3206,zachodniopomorskie powiat 06,32,81381,1088.9,53.49305,14.18277
3207,zachodniopomorskie powiat 07,32,62540,1030.0,53.84976,15.1015
3208,zachodniopomorskie powiat 08,32,116928,2352.4,52.86521,14.35483
3209,zachodniopomorskie powiat 09,32,51081,1416.1,53.25847,15.26339
3210,zachodniopomorskie powiat 10,32,30418,1958.6,53.42479,15.18927
3211,zachodniopomorskie powiat 11,32,74843,2182.5,52.79689,14.70648
3212,zachodniopomorskie powiat 12,32,117528,970.3,53.49671,14.28462
3213,zachodniopomorskie powiat 13,32,101102,1870.9,53.58243,14.44197
3214,zachodniopomorskie powiat 14,32,99100,2595.7,53.20582,13.86633
3215,zachodniopomorskie powiat 15,32,61734,2477.6,53.09033,15.27284
3216,zachodniopomorskie powiat 16,32,47713,1846.6,52.79106,14.75907
3217,zachodniopomorskie powiat 17,32,119573,1677.8,54.10768,14.01697
3218,zachodniopomorskie powiat 18,32,125897,1110.9,53.85047,13.855
3219,zachodniopomorskie powiat 19,32,101181,1672.0,53.25278,14.65367
3220,zachodniopomorskie powiat 20,32,47623,1598.7,53.69709,15.22604
3221,zachodniopomorskie powiat 21,32,115652,1776.5,53.47269,14.39985
