gmina_code,gmina_name,powiat_code,gmina_type,population,lat,lon
0212006,dolnośląskie powiat 12 gmina 06,0212,miejsko-wiejska,27414,50.80526,16.63213
0213001,dolnośląskie powiat 13 gmina 01,0213,miejsko-wiejska,23878,51.16878,17.02039
0213002,dolnośląskie powiat 13 gmina 02,0213,miejsko-wiejska,26392,51.26611,16.83372
0213003,dolnośląskie powiat 13 gmina 03,0213,wiejska,7895,51.4772,16.61983
0213004,dolnośląskie powiat 13 gmina 04,0213,wiejska,19889,51.13864,17.04827
0213005,dolnośląskie powiat 13 gmina 05,0213,miejsko-wiejska,10931,51.30875,17.02872
0213006,dolnośląskie powiat 13 gmina 06,0213,miejska,15393,51.29736,16.70059
0214001,dolnośląskie powiat 14 gmina 01,0214,wiejska,25096,51.65608,17.12248
0214002,dolnośląskie powiat 14 gmina 02,0214,wiejska,24563,51.89082,17.29037
0214003,dolnośląskie powiat 14 gmina 03,0214,wiejska,32762,51.93758,17.40443
0214004,dolnośląskie powiat 14 gmina 04,0214,wiejska,21472,51.58104,17.33502
0214005,dolnośląskie powiat 14 gmina 05,0214,wiejska,22628,51.65202,17.1553
0214006,dolnośląskie powiat 14 gmina 06,0214,wiejska,15935,51.87453,17.46033
0215001,dolnośląskie powiat 15 gmina 01,0215,miejska,14795,50.68223,17.46701
0215002,dolnośląskie powiat 15 gmina 02,0215,wiejska,900,50.44663,17.29718
0215003,dolnośląskie powiat 15 gmina 03,0215,miejska,15890,50.70418,17.29902
0215004,dolnośląskie powiat 15 gmina 04,0215,wiejska,17184,50.79771,17.29201
0215005,dolnośląskie powiat 15 gmina 05,0215,wiejska,21177,50.46201,17.49119
0216001,dolnośląskie powiat 16 gmina 01,0216,wiejska,2886,51.28087,17.14558
0216002,dolnośląskie powiat 16 gmina 02,0216,wiejska,14217,51.194,17.0128
0216003,dolnośląskie powiat 16 gmina 03,0216,wiejska,16600,51.48208,16.93994
0216004,dolnośląskie powiat 16 gmina 04,0216,wiejska,13787,51.34613,16.93109
0216005,dolnośląskie powiat 16 gmina 05,0216,miejska,11867,51.32031,17.15591
0217001,dolnośląskie powiat 17 gmina 01,0217,wiejska,22621,51.45333,17.32288
0217002,dolnośląskie powiat 17 gmina 02,0217,miejsko-wiejska,4594,51.44219,17.45707
0217003,dolnośląskie powiat 17 gmina 03,0217,wiejska,16746,51.60317,17.2579
0217004,dolnośląskie powiat 17 gmina 04,0217,wiejska,19387,51.75722,17.55074
0217005,dolnośląskie powiat 17 gmina 05,0217,wiejska,1636,51.65664,17.25243
0218001,dolnośląskie powiat 18 gmina 01,0218,miejsko-wiejska,33483,50.56756,16.82238
0218002,dolnośląskie powiat 18 gmina 02,0218,miejsko-wiejska,23554,50.55347,16.56487
0218003,dolnośląskie powiat 18 gmina 03,0218,wiejska,900,50.87647,16.81544
0218004,dolnośląskie powiat 18 gmina 04,0218,miejsko-wiejska,28182,50.7078,16.7676
0218005,dolnośląskie powiat 18 gmina 05,0218,wiejska,2645,50.70479,16.68537
0219001,dolnośląskie powiat 19 gmina 01,0219,wiejska,8766,51.60547,16.61905
0219002,dolnośląskie powiat 19 gmina 02,0219,wiejska,12447,51.68514,16.86078
0219003,dolnośląskie powiat 19 gmina 03,0219,wiejska,11093,51.58373,16.83686
0219004,dolnośląskie powiat 19 gmina 04,0219,wiejska,8119,51.6865,16.9028
0219005,dolnośląskie powiat 19 gmina 05,0219,miejska,15328,51.86491,16.85953
0220001,dolnośląskie powiat 20 gmina 01,0220,miejsko-wiejska,10516,51.18235,16.65029
0220002,dolnośląskie powiat 20 gmina 02,0220,miejska,9088,50.91686,16.51021
0220003,dolnośląskie powiat 20 gmina 03,0220,miejska,9419,51.08921,16.77527
0220004,dolnośląskie powiat 20 gmina 04,0220,miejsko-wiejska,3995,50.92929,16.56142
0220005,dolnośląskie powiat 20 gmina 05,0220,wiejska,13472,50.85102,16.68753
0221001,dolnośląskie powiat 21 gmina 01,0221,wiejska,900,51.12027,16.72569
0221002,dolnośląskie powiat 21 gmina 02,0221,miejska,3816,51.12104,16.59539
0221003,dolnośląskie powiat 21 gmina 03,0221,miejsko-wiejska,3190,51.11217,16.48943
0221004,dolnośląskie powiat 21 gmina 04,0221,wiejska,1898,51.36702,16.8637
0221005,dolnośląskie powiat 21 gmina 05,0221,wiejska,6372,51.40776,16.87691
0222001,dolnośląskie powiat 22 gmina 01,0222,wiejska,11423,50.81263,17.70505
0222002,dolnośląskie powiat 22 gmina 02,0222,miejsko-wiejska,12463,50.79882,17.77316
0222003,dolnośląskie powiat 22 gmina 03,0222,miejsko-wiejska,14070,50.5992,17.87614
0222004,dolnośląskie powiat 22 gmina 04,0222,miejska,5279,50.89271,17.81002
0222005,dolnośląskie powiat 22 gmina 05,0222,wiejska,17092,50.57374,17.65428
0223001,dolnośląskie powiat 23 gmina 01,0223,wiejska,8915,50.31494,16.45799
0223002,dolnośląskie powiat 23 gmina 02,0223,wiejska,24016,50.39238,16.43559
0223003,dolnośląskie powiat 23 gmina 03,0223,wiejska,13895,50.60941,16.45786
0223004,dolnośląskie powiat 23 gmina 04,0223,wiejska,20877,50.48519,16.52174
0223005,dolnośląskie powiat 23 gmina 05,0223,miejska,18480,50.68661,16.56248
0224001,dolnośląskie powiat 24 gmina 01,0224,wiejska,12424,51.21095,16.37452
0224002,dolnośląskie powiat 24 gmina 02,0224,miejsko-wiejska,13726,51.1738,16.4067
0224003,dolnośląskie powiat 24 gmina 03,0224,wiejska,17159,50.93863,16.3986
0224004,dolnośląskie powiat 24 gmina 04,0224,miejsko-wiejska,30690,50.98994,16.20718
0224005,dolnośląskie powiat 24 gmina 05,0224,miejsko-wiejska,10579,50.97772,16.53327
0225001,dolnośląskie powiat 25 gmina 01,0225,miejska,33334,51.87959,16.95953
0225002,dolnośląskie powiat 25 gmina 02,0225,wiejska,16427,51.74682,17.27346
0225003,dolnośląskie powiat 25 gmina 03,0225,miejsko-wiejska,27035,51.77722,17.0293
0225004,dolnośląskie powiat 25 gmina 04,0225,wiejska,22029,51.85177,17.1502
0225005,dolnośląskie powiat 25 gmina 05,0225,wiejska,48270,52.05734,17.14452
0226001,dolnośląskie powiat 26 gmina 01,0226,miejska,10533,51.293,17.44086
0226002,dolnośląskie powiat 26 gmina 02,0226,wiejska,4051,51.62242,17.32961
0226003,dolnośląskie powiat 26 gmina 03,0226,miejsko-wiejska,21863,51.24482,17.10595
0226004,dolnośląskie powiat 26 gmina 04,0226,miejsko-wiejska,8518,51.55529,17.27252
0226005,dolnośląskie powiat 26 gmina 05,0226,miejska,5256,51.32081,17.40222
0227001,dolnośląskie powiat 27 gmina 01,0227,wiejska,17346,50.80999,17.32331
0227002,dolnośląskie powiat 27 gmina 02,0227,miejska,16194,50.75075,17.2446
0227003,dolnośląskie powiat 27 gmina 03,0227,miejsko-wiejska,17197,50.77108,17.15083
0227004,dolnośląskie powiat 27 gmina 04,0227,wiejska,25536,50.54568,17.38773
0227005,dolnośląskie powiat 27 gmina 05,0227,miejska,900,50.58523,17.07232
0228001,dolnośląskie powiat 28 gmina 01,0228,miejsko-wiejska,16002,51.65307,17.61392
0228002,dolnośląskie powiat 28 gmina 02,0228,wiejska,27058,51.73276,17.56093
0228003,dolnośląskie powiat 28 gmina 03,0228,wiejska,25468,52.00432,17.48166
0228004,dolnośląskie powiat 28 gmina 04,0228,miejska,5231,51.94624,17.7165
0228005,dolnośląskie powiat 28 gmina 05,0228,miejska,23194,51.7355,17.62547
0229001,dolnośląskie powiat 29 gmina 01,0229,miejsko-wiejska,22554,51.10872,16.5274
0229002,dolnośląskie powiat 29 gmina 02,0229,miejska,18345,51.13776,16.71398
0229003,dolnośląskie powiat 29 gmina 03,0229,miejsko-wiejska,21416,50.9818,16.71845
0229004,dolnośląskie powiat 29 gmina 04,0229,miejska,46727,51.098,16.35697
0229005,dolnośląskie powiat 29 gmina 05,0229,miejsko-wiejska,9643,51.13672,16.35096
0230001,dolnośląskie powiat 30 gmina 01,0230,wiejska,8799,51.23469,17.40501
0230002,dolnośląskie powiat 30 gmina 02,0230,miejska,900,51.27157,17.01581
0230003,dolnośląskie powiat 30 gmina 03,0230,wiejska,12306,51.20213,17.34921
0230004,dolnośląskie powiat 30 gmina 04,0230,miejsko-wiejska,5932,51.42879,17.04354
0230005,dolnośląskie powiat 30 gmina 05,0230,miejsko-wiejska,13811,51.41495,17.20231
0401001,kujawsko powiat 01 gmina 01,0401,miejsko-wiejska,16648,53.66629,17.99733
0401002,kujawsko powiat 01 gmina 02,0401,miejsko-wiejska,20111,53.71741,18.02202
0401003,kujawsko powiat 01 gmina 03,0401,wiejska,14983,53.73401,18.06334
0401004,kujawsko powiat 01 gmina 04,0401,wiejska,11980,53.71137,18.03748
0401005,kujawsko powiat 01 gmina 05,0401,wiejska,10909,53.56946,18.19861
0401006,kujawsko powiat 01 gmina 06,0401,wiejska,4995,53.33337,17.91533
0401007,kujawsko powiat 01 gmina 07,0401,miejska,3952,53.43661,17.89435
0402001,kujawsko powiat 02 gmina 01,0402,wiejska,9252,52.77537,17.22598
0402002,kujawsko powiat 02 gmina 02,0402,wiejska,9437,52.83722,17.31171
0402003,kujawsko powiat 02 gmina 03,0402,miejska,4271,52.65129,17.22334
0402004,kujawsko powiat 02 gmina 04,0402,wiejska,5180,52.80923,17.19603
0402005,kujawsko powiat 02 gmina 05,0402,miejsko-wiejska,12944,52.677,17.46412
0402006,kujawsko powiat 02 gmina 06,0402,miejska,6617,52.71435,17.23514
0402007,kujawsko powiat 02 gmina 07,0402,miejska,3254,52.77223,17.28459
0403001,kujawsko powiat 03 gmina 01,0403,wiejska,15243,53.68464,18.31975
0403002,kujawsko powiat 03 gmina 02,0403,wiejska,13401,53.58008,18.56091
0403003,kujawsko powiat 03 gmina 03,0403,wiejska,15464,53.60563,18.70338
0403004,kujawsko powiat 03 gmina 04,0403,wiejska,5585,53.74446,18.63969
0403005,kujawsko powiat 03 gmina 05,0403,miejska,23587,53.84976,18.71456
0403006,kujawsko powiat 03 gmina 06,0403,wiejska,5005,53.61267,18.7027
0403007,kujawsko powiat 03 gmina 07,0403,wiejska,29261,53.89782,18.41414
0404001,kujawsko powiat 04 gmina 01,0404,wiejska,3355,53.78996,17.42027
0404002,kujawsko powiat 04 gmina 02,0404,wiejska,25012,53.74681,17.21699
0404003,kujawsko powiat 04 gmina 03,0404,wiejska,900,53.8345,17.40696
0404004,kujawsko powiat 04 gmina 04,0404,wiejska,7888,53.77703,17.47856
0404005,kujawsko powiat 04 gmina 05,0404,miejsko-wiejska,16669,53.70211,17.47173
0404006,kujawsko powiat 04 gmina 06,0404,wiejska,6073,53.79361,17.44555
0404007,kujawsko powiat 04 gmina 07,0404,miejsko-wiejska,36993,53.86373,17.48158
0405001,kujawsko powiat 05 gmina 01,0405,wiejska,23469,52.46818,18.35565
0405002,kujawsko powiat 05 gmina 02,0405,wiejska,14858,52.66229,18.48365
0405003,kujawsko powiat 05 gmina 03,0405,wiejska,6093,52.65134,18.41554
0405004,kujawsko powiat 05 gmina 04,0405,wiejska,6311,52.29471,18.51764
0405005,kujawsko powiat 05 gmina 05,0405,wiejska,21714,52.27681,18.61209
0405006,kujawsko powiat 05 gmina 06,0405,miejsko-wiejska,12037,52.43315,18.51048
0405007,kujawsko powiat 05 gmina 07,0405,wiejska,13509,52.37116,18.404
0406001,kujawsko powiat 06 gmina 01,0406,wiejska,2326,53.23364,17.68908
0406002,kujawsko powiat 06 gmina 02,0406,wiejska,17108,53.23719,17.65618
0406003,kujawsko powiat 06 gmina 03,0406,wiejska,13415,52.98902,17.48198
0406004,kujawsko powiat 06 gmina 04,0406,wiejska,9746,53.39211,17.49832
0406005,kujawsko powiat 06 gmina 05,0406,wiejska,3984,53.17856,17.527
0406006,kujawsko powiat 06 gmina 06,0406,wiejska,11447,53.28479,17.5763
0406007,kujawsko powiat 06 gmina 07,0406,miejsko-wiejska,4977,53.33469,17.48662
0407001,kujawsko powiat 07 gmina 01,0407,wiejska,1714,52.86053,17.78902
0407002,kujawsko powiat 07 gmina 02,0407,wiejska,8137,52.86497,17.42656
0407003,kujawsko powiat 07 gmina 03,0407,wiejska,5142,52.96643,17.43726
0407004,kujawsko powiat 07 gmina 04,0407,wiejska,7240,52.97835,17.36894
0407005,kujawsko powiat 07 gmina 05,0407,wiejska,10040,52.9593,17.66618
0407006,kujawsko powiat 07 gmina 06,0407,miejska,11254,53.11923,17.71194
0408001,kujawsko powiat 08 gmina 01,0408,wiejska,18821,52.70333,18.67455
0408002,kujawsko powiat 08 gmina 02,0408,wiejska,5465,52.73651,18.91068
0408003,kujawsko powiat 08 gmina 03,0408,wiejska,4379,52.89005,18.7894
0408004,kujawsko powiat 08 gmina 04,0408,miejsko-wiejska,9557,52.9931,18.80276
0408005,kujawsko powiat 08 gmina 05,0408,miejska,5831,52.89144,18.56841
0408006,kujawsko powiat 08 gmina 06,0408,wiejska,8356,52.67293,18.66549
0409001,kujawsko powiat 09 gmina 01,0409,wiejska,5233,52.99468,17.87542
0409002,kujawsko powiat 09 gmina 02,0409,wiejska,900,52.89238,18.09438
0409003,kujawsko powiat 09 gmina 03,0409,miejska,900,53.05481,18.0302
0409004,kujawsko powiat 09 gmina 04,0409,miejska,14350,52.94907,18.0132
0409005,kujawsko powiat 09 gmina 05,0409,miejsko-wiejska,16072,52.87073,18.17346
0409006,kujawsko powiat 09 gmina 06,0409,wiejska,900,53.03304,18.03255
0410001,kujawsko powiat 10 gmina 01,0410,miejska,23486,53.25099,17.41995
0410002,kujawsko powiat 10 gmina 02,0410,wiejska,9844,53.37082,17.51209
0410003,kujawsko powiat 10 gmina 03,0410,miejsko-wiejska,13767,53.23718,17.71028
0410004,kujawsko powiat 10 gmina 04,0410,miejska,17573,53.27784,17.43338
0410005,kujawsko powiat 10 gmina 05,0410,miejska,900,53.19738,17.74552
0410006,kujawsko powiat 10 gmina 06,0410,miejsko-wiejska,28200,53.35231,17.62397
0411001,kujawsko powiat 11 gmina 01,0411,miejsko-wiejska,23377,52.59058,18.11604
0411002,kujawsko powiat 11 gmina 02,0411,miejsko-wiejska,900,52.45787,18.13842
0411003,kujawsko powiat 11 gmina 03,0411,miejsko-wiejska,23907,52.60127,18.08931
0411004,kujawsko powiat 11 gmina 04,0411,wiejska,10764,52.51868,18.13933
0411005,kujawsko powiat 11 gmina 05,0411,wiejska,10422,52.32125,18.07596
0411006,kujawsko powiat 11 gmina 06,0411,wiejska,7036,52.28611,18.13941
0412001,kujawsko powiat 12 gmina 01,0412,wiejska,19663,52.56957,17.52272
0412002,kujawsko powiat 12 gmina 02,0412,wiejska,50227,52.63732,17.82902
0412003,kujawsko powiat 12 gmina 03,0412,miejsko-wiejska,41387,52.60549,17.79967
0412004,kujawsko powiat 12 gmina 04,0412,miejsko-wiejska,22499,52.64129,17.45124
0412005,kujawsko powiat 12 gmina 05,0412,wiejska,43110,52.62432,17.73046
0412006,kujawsko powiat 12 gmina 06,0412,wiejska,10126,52.47515,17.64948
0413001,kujawsko powiat 13 gmina 01,0413,miejska,24132,52.75366,17.62413
0413002,kujawsko powiat 13 gmina 02,0413,miejsko-wiejska,900,52.70173,17.35929
0413003,kujawsko powiat 13 gmina 03,0413,miejsko-wiejska,37196,52.61887,17.23796
0413004,kujawsko powiat 13 gmina 04,0413,wiejska,13040,52.79726,17.55848
0413005,kujawsko powiat 13 gmina 05,0413,wiejska,9603,52.50273,17.47202
0413006,kujawsko powiat 13 gmina 06,0413,wiejska,22714,52.6639,17.33008
0414001,kujawsko powiat 14 gmina 01,0414,wiejska,5603,53.58472,18.49875
0414002,kujawsko powiat 14 gmina 02,0414,miejska,19205,53.48168,18.54997
0414003,kujawsko powiat 14 gmina 03,0414,miejsko-wiejska,16792,53.53265,18.30431
0414004,kujawsko powiat 14 gmina 04,0414,miejsko-wiejska,13271,53.5246,18.24995
0414005,kujawsko powiat 14 gmina 05,0414,miejska,19454,53.38847,18.53565
0414006,kujawsko powiat 14 gmina 06,0414,wiejska,10493,53.74083,18.37022
0415001,kujawsko powiat 15 gmina 01,0415,wiejska,13042,52.69657,17.75781
0415002,kujawsko powiat 15 gmina 02,0415,wiejska,4097,52.43332,17.99273
0415003,kujawsko powiat 15 gmina 03,0415,miejska,2052,52.29938,17.89477
0415004,kujawsko powiat 15 gmina 04,0415,miejska,5338,52.39842,17.98417
0415005,kujawsko powiat 15 gmina 05,0415,miejska,900,52.73369,17.8708
0415006,kujawsko powiat 15 gmina 06,0415,wiejska,11724,52.33006,17.85353
0416001,kujawsko powiat 16 gmina 01,0416,miejsko-wiejska,19722,53.55119,18.57499
0416002,kujawsko powiat 16 gmina 02,0416,miejsko-wiejska,21897,53.49494,18.57323
0416003,kujawsko powiat 16 gmina 03,0416,wiejska,23615,53.16728,18.80066
0416004,kujawsko powiat 16 gmina 04,0416,miejska,3702,53.48142,18.79101
0416005,kujawsko powiat 16 gmina 05,0416,miejska,22211,53.54193,18.55279
0416006,kujawsko powiat 16 gmina 06,0416,wiejska,22596,53.49463,18.77406
0417001,kujawsko powiat 17 gmina 01,0417,miejska,13255,52.81896,17.66922
0417002,kujawsko powiat 17 gmina 02,0417,wiejska,17420,53.00092,17.81135
0417003,kujawsko powiat 17 gmina 03,0417,wiejska,1820,53.1305,17.83705
0417004,kujawsko powiat 17 gmina 04,0417,wiejska,14168,52.98524,17.77154
0417005,kujawsko powiat 17 gmina 05,0417,wiejska,17806,53.15251,17.96741
0417006,kujawsko powiat 17 gmina 06,0417,wiejska,900,52.80704,17.76717
0418001,kujawsko powiat 18 gmina 01,0418,miejska,7312,53.26065,18.08215
0418002,kujawsko powiat 18 gmina 02,0418,wiejska,6083,53.20518,17.92131
0418003,kujawsko powiat 18 gmina 03,0418,miejska,992,53.24638,18.01018
0418004,kujawsko powiat 18 gmina 04,0418,miejska,19988,52.85613,17.78658
0418005,kujawsko powiat 18 gmina 05,0418,wiejska,14119,53.04933,17.94779
0418006,kujawsko powiat 18 gmina 06,0418,miejska,2187,53.00921,17.98002
0419001,kujawsko powiat 19 gmina 01,0419,wiejska,3639,52.6503,18.55966
0419002,kujawsko powiat 19 gmina 02,0419,wiejska,1605,52.61762,18.77885
0419003,kujawsko powiat 19 gmina 03,0419,miejska,6798,52.8954,18.72296
0419004,kujawsko powiat 19 gmina 04,0419,miejsko-wiejska,5491,52.83563,18.74448
0419005,kujawsko powiat 19 gmina 05,0419,wiejska,4852,52.71938,18.62278
0419006,kujawsko powiat 19 gmina 06,0419,wiejska,7444,52.6643,18.74965
0420001,kujawsko powiat 20 gmina 01,0420,miejsko-wiejska,25862,52.53804,18.60941
0420002,kujawsko powiat 20 gmina 02,0420,wiejska,18336,52.4595,18.88183
0420003,kujawsko powiat 20 gmina 03,0420,miejsko-wiejska,20119,52.57307,18.65558
0420004,kujawsko powiat 20 gmina 04,0420,miejsko-wiejska,15459,52.56881,18.55024
0420005,kujawsko powiat 20 gmina 05,0420,miejska,19266,52.5428,18.79105
0420006,kujawsko powiat 20 gmina 06,0420,wiejska,7803,52.42967,18.69577
0421001,kujawsko powiat 21 gmina 01,0421,wiejska,11102,53.71924,18.47323
0421002,kujawsko powiat 21 gmina 02,0421,wiejska,30463,53.92501,18.52845
0421003,kujawsko powiat 21 gmina 03,0421,wiejska,18946,53.71459,18.63553
0421004,kujawsko powiat 21 gmina 04,0421,miejsko-wiejska,900,53.67303,18.83766
0421005,kujawsko powiat 21 gmina 05,0421,wiejska,8320,53.93288,18.61247
0421006,kujawsko powiat 21 gmina 06,0421,wiejska,21529,53.79014,18.74488
0422001,kujawsko powiat 22 gmina 01,0422,miejska,13416,52.69502,18.03681
0422002,kujawsko powiat 22 gmina 02,0422,miejsko-wiejska,16889,52.82803,18.07178
0422003,kujawsko powiat 22 gmina 03,0422,wiejska,13511,52.59834,18.01169
0422004,kujawsko powiat 22 gmina 04,0422,wiejska,5757,52.71748,17.64347
0422005,kujawsko powiat 22 gmina 05,0422,wiejska,8551,52.74812,17.84409
0422006,kujawsko powiat 22 gmina 06,0422,wiejska,19087,52.6912,17.97991
0423001,kujawsko powiat 23 gmina 01,0423,wiejska,5095,52.82982,18.51917
0423002,kujawsko powiat 23 gmina 02,0423,miejsko-wiejska,24442,52.82448,18.66879
0423003,kujawsko powiat 23 gmina 03,0423,miejsko-wiejska,900,52.7226,18.80557
0423004,kujawsko powiat 23 gmina 04,0423,wiejska,12666,53.04193,18.5621
0423005,kujawsko powiat 23 gmina 05,0423,wiejska,20223,52.74831,18.95502
0423006,kujawsko powiat 23 gmina 06,0423,miejsko-wiejska,1214,52.76289,18.92172
0601001,lubelskie powiat 01 gmina 01,0601,miejska,17866,51.07491,23.46318
0601002,lubelskie powiat 01 gmina 02,0601,miejsko-wiejska,33681,50.95306,23.09313
0601003,lubelskie powiat 01 gmina 03,0601,wiejska,27014,51.1024,23.45864
0601004,lubelskie powiat 01 gmina 04,0601,miejsko-wiejska,14292,51.02585,23.17298
0601005,lubelskie powiat 01 gmina 05,0601,miejska,1893,51.05096,23.15404
0601006,lubelskie powiat 01 gmina 06,0601,wiejska,24064,51.0002,23.37755
0601007,lubelskie powiat 01 gmina 07,0601,wiejska,25954,51.11607,23.21325
0601008,lubelskie powiat 01 gmina 08,0601,wiejska,19566,51.33545,23.12574
