institution_id,institution_code,institution_name,level,seat
INST-KWPSP-20,KW_PSP_20,Komenda Wojewódzka PSP - podlaskie,wojewódzki,Białystok
INST-WCZK-22,WCZK_22,Wojewódzkie Centrum Zarządzania Kryzysowego - pomorskie,wojewódzki,Gdańsk
INST-KWPSP-22,KW_PSP_22,Komenda Wojewódzka PSP - pomorskie,wojewódzki,Gdańsk
INST-WCZK-24,WCZK_24,Wojewódzkie Centrum Zarządzania Kryzysowego - śląskie,wojewódzki,Katowice
INST-KWPSP-24,KW_PSP_24,Komenda Wojewódzka PSP - śląskie,wojewódzki,Katowice
INST-WCZK-26,WCZK_26,Wojewódzkie Centrum Zarządzania Kryzysowego - świętokrzyskie,wojewódzki,Kielce
INST-KWPSP-26,KW_PSP_26,Komenda Wojewódzka PSP - świętokrzyskie,wojewódzki,Kielce
INST-WCZK-28,WCZK_28,Wojewódzkie Centrum Zarządzania Kryzysowego - warmińsko-mazurskie,wojewódzki,Olsztyn
INST-KWPSP-28,KW_PSP_28,Komenda Wojewódzka PSP - warmińsko-mazurskie,wojewódzki,Olsztyn
INST-WCZK-30,WCZK_30,Wojewódzkie Centrum Zarządzania Kryzysowego - wielkopolskie,wojewódzki,Poznań
INST-KWPSP-30,KW_PSP_30,Komenda Wojewódzka PSP - wielkopolskie,wojewódzki,Poznań
INST-WCZK-32,WCZK_32,Wojewódzkie Centrum Zarządzania Kryzysowego - zachodniopomorskie,wojewódzki,Szczecin
INST-KWPSP-32,KW_PSP_32,Komenda Wojewódzka PSP - zachodniopomorskie,wojewódzki,Szczecin
INST-PCZK-0201,PCZK_0201,Powiatowe Centrum Zarządzania Kryzysowego - kłodzki,powiatowy,kłodzki
INST-PCZK-0202,PCZK_0202,Powiatowe Centrum Zarządzania Kryzysowego - wrocławski,powiatowy,wrocławski
INST-PCZK-0203,PCZK_0203,Powiatowe Centrum Zarządzania Kryzysowego - Wrocław,powiatowy,Wrocław
INST-PCZK-0204,PCZK_0204,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 04,powiatowy,dolnośląskie powiat 04
INST-PCZK-0205,PCZK_0205,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 05,powiatowy,dolnośląskie powiat 05
INST-PCZK-0206,PCZK_0206,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 06,powiatowy,dolnośląskie powiat 06
INST-PCZK-0207,PCZK_0207,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 07,powiatowy,dolnośląskie powiat 07
INST-PCZK-0208,PCZK_0208,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 08,powiatowy,dolnośląskie powiat 08
INST-PCZK-0209,PCZK_0209,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 09,powiatowy,dolnośląskie powiat 09
INST-PCZK-0210,PCZK_0210,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 10,powiatowy,dolnośląskie powiat 10
INST-PCZK-0211,PCZK_0211,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 11,powiatowy,dolnośląskie powiat 11
INST-PCZK-0212,PCZK_0212,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 12,powiatowy,dolnośląskie powiat 12
INST-PCZK-0213,PCZK_0213,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 13,powiatowy,dolnośląskie powiat 13
INST-PCZK-0214,PCZK_0214,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 14,powiatowy,dolnośląskie powiat 14
INST-PCZK-0215,PCZK_0215,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 15,powiatowy,dolnośląskie powiat 15
INST-PCZK-0216,PCZK_0216,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 16,powiatowy,dolnośląskie powiat 16
INST-PCZK-0217,PCZK_0217,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 17,powiatowy,dolnośląskie powiat 17
INST-PCZK-0218,PCZK_0218,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 18,powiatowy,dolnośląskie powiat 18
INST-PCZK-0219,PCZK_0219,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 19,powiatowy,dolnośląskie powiat 19
INST-PCZK-0220,PCZK_0220,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 20,powiatowy,dolnośląskie powiat 20
INST-PCZK-0221,PCZK_0221,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 21,powiatowy,dolnośląskie powiat 21
INST-PCZK-0222,PCZK_0222,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 22,powiatowy,dolnośląskie powiat 22
INST-PCZK-0223,PCZK_0223,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 23,powiatowy,dolnośląskie powiat 23
INST-PCZK-0224,PCZK_0224,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 24,powiatowy,dolnośląskie powiat 24
INST-PCZK-0225,PCZK_0225,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 25,powiatowy,dolnośląskie powiat 25
INST-PCZK-0226,PCZK_0226,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 26,powiatowy,dolnośląskie powiat 26
INST-PCZK-0227,PCZK_0227,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 27,powiatowy,dolnośląskie powiat 27
INST-PCZK-0228,PCZK_0228,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 28,powiatowy,dolnośląskie powiat 28
INST-PCZK-0229,PCZK_0229,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 29,powiatowy,dolnośląskie powiat 29
INST-PCZK-0230,PCZK_0230,Powiatowe Centrum Zarządzania Kryzysowego - dolnośląskie powiat 30,powiatowy,dolnośląskie powiat 30
INST-PCZK-0401,PCZK_0401,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 01,powiatowy,kujawsko powiat 01
INST-PCZK-0402,PCZK_0402,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 02,powiatowy,kujawsko powiat 02
INST-PCZK-0403,PCZK_0403,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 03,powiatowy,kujawsko powiat 03
INST-PCZK-0404,PCZK_0404,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 04,powiatowy,kujawsko powiat 04
INST-PCZK-0405,PCZK_0405,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 05,powiatowy,kujawsko powiat 05
INST-PCZK-0406,PCZK_0406,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 06,powiatowy,kujawsko powiat 06
INST-PCZK-0407,PCZK_0407,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 07,powiatowy,kujawsko powiat 07
INST-PCZK-0408,PCZK_0408,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 08,powiatowy,kujawsko powiat 08
INST-PCZK-0409,PCZK_0409,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 09,powiatowy,kujawsko powiat 09
INST-PCZK-0410,PCZK_0410,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 10,powiatowy,kujawsko powiat 10
INST-PCZK-0411,PCZK_0411,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 11,powiatowy,kujawsko powiat 11
INST-PCZK-0412,PCZK_0412,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 12,powiatowy,kujawsko powiat 12
INST-PCZK-0413,PCZK_0413,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 13,powiatowy,kujawsko powiat 13
INST-PCZK-0414,PCZK_0414,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 14,powiatowy,kujawsko powiat 14
INST-PCZK-0415,PCZK_0415,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 15,powiatowy,kujawsko powiat 15
INST-PCZK-0416,PCZK_0416,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 16,powiatowy,kujawsko powiat 16
INST-PCZK-0417,PCZK_0417,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 17,powiatowy,kujawsko powiat 17
INST-PCZK-0418,PCZK_0418,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 18,powiatowy,kujawsko powiat 18
INST-PCZK-0419,PCZK_0419,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 19,powiatowy,kujawsko powiat 19
INST-PCZK-0420,PCZK_0420,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 20,powiatowy,kujawsko powiat 20
INST-PCZK-0421,PCZK_0421,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 21,powiatowy,kujawsko powiat 21
INST-PCZK-0422,PCZK_0422,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 22,powiatowy,kujawsko powiat 22
INST-PCZK-0423,PCZK_0423,Powiatowe Centrum Zarządzania Kryzysowego - kujawsko powiat 23,powiatowy,kujawsko powiat 23
INST-PCZK-0601,PCZK_0601,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 01,powiatowy,lubelskie powiat 01
INST-PCZK-0602,PCZK_0602,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 02,powiatowy,lubelskie powiat 02
INST-PCZK-0603,PCZK_0603,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 03,powiatowy,lubelskie powiat 03
INST-PCZK-0604,PCZK_0604,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 04,powiatowy,lubelskie powiat 04
INST-PCZK-0605,PCZK_0605,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 05,powiatowy,lubelskie powiat 05
INST-PCZK-0606,PCZK_0606,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 06,powiatowy,lubelskie powiat 06
INST-PCZK-0607,PCZK_0607,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 07,powiatowy,lubelskie powiat 07
INST-PCZK-0608,PCZK_0608,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 08,powiatowy,lubelskie powiat 08
INST-PCZK-0609,PCZK_0609,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 09,powiatowy,lubelskie powiat 09
INST-PCZK-0610,PCZK_0610,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 10,powiatowy,lubelskie powiat 10
INST-PCZK-0611,PCZK_0611,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 11,powiatowy,lubelskie powiat 11
INST-PCZK-0612,PCZK_0612,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 12,powiatowy,lubelskie powiat 12
INST-PCZK-0613,PCZK_0613,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 13,powiatowy,lubelskie powiat 13
INST-PCZK-0614,PCZK_0614,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 14,powiatowy,lubelskie powiat 14
INST-PCZK-0615,PCZK_0615,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 15,powiatowy,lubelskie powiat 15
INST-PCZK-0616,PCZK_0616,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 16,powiatowy,lubelskie powiat 16
INST-PCZK-0617,PCZK_0617,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 17,powiatowy,lubelskie powiat 17
INST-PCZK-0618,PCZK_0618,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 18,powiatowy,lubelskie powiat 18
INST-PCZK-0619,PCZK_0619,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 19,powiatowy,lubelskie powiat 19
INST-PCZK-0620,PCZK_0620,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 20,powiatowy,lubelskie powiat 20
INST-PCZK-0621,PCZK_0621,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 21,powiatowy,lubelskie powiat 21
INST-PCZK-0622,PCZK_0622,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 22,powiatowy,lubelskie powiat 22
INST-PCZK-0623,PCZK_0623,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 23,powiatowy,lubelskie powiat 23
INST-PCZK-0624,PCZK_0624,Powiatowe Centrum Zarządzania Kryzysowego - lubelskie powiat 24,powiatowy,lubelskie powiat 24
INST-PCZK-0801,PCZK_0801,Powiatowe Centrum Zarządzania Kryzysowego - krośnieński,powiatowy,krośnieński
INST-PCZK-0802,PCZK_0802,Powiatowe Centrum Zarządzania Kryzysowego - nowosolski,powiatowy,nowosolski
INST-PCZK-0803,PCZK_0803,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 03,powiatowy,lubuskie powiat 03
INST-PCZK-0804,PCZK_0804,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 04,powiatowy,lubuskie powiat 04
INST-PCZK-0805,PCZK_0805,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 05,powiatowy,lubuskie powiat 05
INST-PCZK-0806,PCZK_0806,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 06,powiatowy,lubuskie powiat 06
INST-PCZK-0807,PCZK_0807,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 07,powiatowy,lubuskie powiat 07
INST-PCZK-0808,PCZK_0808,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 08,powiatowy,lubuskie powiat 08
INST-PCZK-0809,PCZK_0809,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 09,powiatowy,lubuskie powiat 09
INST-PCZK-0810,PCZK_0810,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 10,powiatowy,lubuskie powiat 10
INST-PCZK-0811,PCZK_0811,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 11,powiatowy,lubuskie powiat 11
INST-PCZK-0812,PCZK_0812,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 12,powiatowy,lubuskie powiat 12
INST-PCZK-0813,PCZK_0813,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 13,powiatowy,lubuskie powiat 13
INST-PCZK-0814,PCZK_0814,Powiatowe Centrum Zarządzania Kryzysowego - lubuskie powiat 14,powiatowy,lubuskie powiat 14
INST-PCZK-1001,PCZK_1001,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 01,powiatowy,łódzkie powiat 01
INST-PCZK-1002,PCZK_1002,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 02,powiatowy,łódzkie powiat 02
INST-PCZK-1003,PCZK_1003,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 03,powiatowy,łódzkie powiat 03
INST-PCZK-1004,PCZK_1004,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 04,powiatowy,łódzkie powiat 04
INST-PCZK-1005,PCZK_1005,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 05,powiatowy,łódzkie powiat 05
INST-PCZK-1006,PCZK_1006,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 06,powiatowy,łódzkie powiat 06
INST-PCZK-1007,PCZK_1007,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 07,powiatowy,łódzkie powiat 07
INST-PCZK-1008,PCZK_1008,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 08,powiatowy,łódzkie powiat 08
INST-PCZK-1009,PCZK_1009,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 09,powiatowy,łódzkie powiat 09
INST-PCZK-1010,PCZK_1010,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 10,powiatowy,łódzkie powiat 10
INST-PCZK-1011,PCZK_1011,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 11,powiatowy,łódzkie powiat 11
INST-PCZK-1012,PCZK_1012,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 12,powiatowy,łódzkie powiat 12
INST-PCZK-1013,PCZK_1013,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 13,powiatowy,łódzkie powiat 13
INST-PCZK-1014,PCZK_1014,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 14,powiatowy,łódzkie powiat 14
INST-PCZK-1015,PCZK_1015,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 15,powiatowy,łódzkie powiat 15
INST-PCZK-1016,PCZK_1016,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 16,powiatowy,łódzkie powiat 16
INST-PCZK-1017,PCZK_1017,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 17,powiatowy,łódzkie powiat 17
INST-PCZK-1018,PCZK_1018,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 18,powiatowy,łódzkie powiat 18
INST-PCZK-1019,PCZK_1019,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 19,powiatowy,łódzkie powiat 19
INST-PCZK-1020,PCZK_1020,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 20,powiatowy,łódzkie powiat 20
INST-PCZK-1021,PCZK_1021,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 21,powiatowy,łódzkie powiat 21
INST-PCZK-1022,PCZK_1022,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 22,powiatowy,łódzkie powiat 22
INST-PCZK-1023,PCZK_1023,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 23,powiatowy,łódzkie powiat 23
INST-PCZK-1024,PCZK_1024,Powiatowe Centrum Zarządzania Kryzysowego - łódzkie powiat 24,powiatowy,łódzkie powiat 24
INST-PCZK-1201,PCZK_1201,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 01,powiatowy,małopolskie powiat 01
INST-PCZK-1202,PCZK_1202,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 02,powiatowy,małopolskie powiat 02
INST-PCZK-1203,PCZK_1203,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 03,powiatowy,małopolskie powiat 03
INST-PCZK-1204,PCZK_1204,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 04,powiatowy,małopolskie powiat 04
INST-PCZK-1205,PCZK_1205,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 05,powiatowy,małopolskie powiat 05
INST-PCZK-1206,PCZK_1206,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 06,powiatowy,małopolskie powiat 06
INST-PCZK-1207,PCZK_1207,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 07,powiatowy,małopolskie powiat 07
INST-PCZK-1208,PCZK_1208,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 08,powiatowy,małopolskie powiat 08
INST-PCZK-1209,PCZK_1209,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 09,powiatowy,małopolskie powiat 09
INST-PCZK-1210,PCZK_1210,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 10,powiatowy,małopolskie powiat 10
INST-PCZK-1211,PCZK_1211,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 11,powiatowy,małopolskie powiat 11
INST-PCZK-1212,PCZK_1212,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 12,powiatowy,małopolskie powiat 12
INST-PCZK-1213,PCZK_1213,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 13,powiatowy,małopolskie powiat 13
INST-PCZK-1214,PCZK_1214,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 14,powiatowy,małopolskie powiat 14
INST-PCZK-1215,PCZK_1215,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 15,powiatowy,małopolskie powiat 15
INST-PCZK-1216,PCZK_1216,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 16,powiatowy,małopolskie powiat 16
INST-PCZK-1217,PCZK_1217,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 17,powiatowy,małopolskie powiat 17
INST-PCZK-1218,PCZK_1218,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 18,powiatowy,małopolskie powiat 18
INST-PCZK-1219,PCZK_1219,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 19,powiatowy,małopolskie powiat 19
INST-PCZK-1220,PCZK_1220,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 20,powiatowy,małopolskie powiat 20
INST-PCZK-1221,PCZK_1221,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 21,powiatowy,małopolskie powiat 21
INST-PCZK-1222,PCZK_1222,Powiatowe Centrum Zarządzania Kryzysowego - małopolskie powiat 22,powiatowy,małopolskie powiat 22
INST-PCZK-1401,PCZK_1401,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 01,powiatowy,mazowieckie powiat 01
INST-PCZK-1402,PCZK_1402,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 02,powiatowy,mazowieckie powiat 02
INST-PCZK-1403,PCZK_1403,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 03,powiatowy,mazowieckie powiat 03
INST-PCZK-1404,PCZK_1404,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 04,powiatowy,mazowieckie powiat 04
INST-PCZK-1405,PCZK_1405,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 05,powiatowy,mazowieckie powiat 05
INST-PCZK-1406,PCZK_1406,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 06,powiatowy,mazowieckie powiat 06
INST-PCZK-1407,PCZK_1407,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 07,powiatowy,mazowieckie powiat 07
INST-PCZK-1408,PCZK_1408,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 08,powiatowy,mazowieckie powiat 08
INST-PCZK-1409,PCZK_1409,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 09,powiatowy,mazowieckie powiat 09
INST-PCZK-1410,PCZK_1410,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 10,powiatowy,mazowieckie powiat 10
INST-PCZK-1411,PCZK_1411,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 11,powiatowy,mazowieckie powiat 11
INST-PCZK-1412,PCZK_1412,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 12,powiatowy,mazowieckie powiat 12
INST-PCZK-1413,PCZK_1413,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 13,powiatowy,mazowieckie powiat 13
INST-PCZK-1414,PCZK_1414,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 14,powiatowy,mazowieckie powiat 14
INST-PCZK-1415,PCZK_1415,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 15,powiatowy,mazowieckie powiat 15
INST-PCZK-1416,PCZK_1416,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 16,powiatowy,mazowieckie powiat 16
INST-PCZK-1417,PCZK_1417,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 17,powiatowy,mazowieckie powiat 17
INST-PCZK-1418,PCZK_1418,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 18,powiatowy,mazowieckie powiat 18
INST-PCZK-1419,PCZK_1419,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 19,powiatowy,mazowieckie powiat 19
INST-PCZK-1420,PCZK_1420,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 20,powiatowy,mazowieckie powiat 20
INST-PCZK-1421,PCZK_1421,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 21,powiatowy,mazowieckie powiat 21
INST-PCZK-1422,PCZK_1422,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 22,powiatowy,mazowieckie powiat 22
INST-PCZK-1423,PCZK_1423,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 23,powiatowy,mazowieckie powiat 23
INST-PCZK-1424,PCZK_1424,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 24,powiatowy,mazowieckie powiat 24
INST-PCZK-1425,PCZK_1425,Powiatowe Centrum Zarządzania Kryzysowego - mazowieckie powiat 25,powiatowy,mazowieckie powiat 25
